data,valor_compra,valor_venda
2026-05-13,0.0036107,0.00361072
2026-05-13,0.00361116,0.00361118
2026-05-12,0.00354623,0.00354625
2026-05-11,0.00352239,0.00352241
2026-05-10,0.0035037,0.00351182
